treat_id,AUC,Cell,Drug,Timepoint,Method,measured_by,drug_id,cell_type1,cell_type2
SK-BR-3_BOSUTINIB_72h_Trypan Blue_LT,1.082903048740456,SK-BR-3,BOSUTINIB,72h,Trypan Blue,LT,BOSUTINIB_72h_Trypan Blue_LT,solid,Breast cancer
SK-N-SH_BELINOSTAT_144h_Resazurin_SM,1.252345348506516,SK-N-SH,BELINOSTAT,144h,Resazurin,SM,BELINOSTAT_144h_Resazurin_SM,solid,Neuroblastoma
Jurkat_RUXOLITINIB_72h_Trypan Blue_KI,0.8945017369835143,Jurkat,RUXOLITINIB,72h,Trypan Blue,KI,RUXOLITINIB_72h_Trypan Blue_KI,suspension,Lymphoblastic
HL-60_VENETOCLAX_72h_Trypan Blue_KI,0.1536879675338231,HL-60,VENETOCLAX,72h,Trypan Blue,KI,VENETOCLAX_72h_Trypan Blue_KI,suspension,Myeloid
K562_MITHRAMYCIN_144h_Resazurin_KI,0.8922361012482293,K562,MITHRAMYCIN,144h,Resazurin,KI,MITHRAMYCIN_144h_Resazurin_KI,suspension,Myeloid
Jurkat_SUNITINIB_72h_XTT_KI,1.244091618971689,Jurkat,SUNITINIB,72h,XTT,KI,SUNITINIB_72h_XTT_KI,suspension,Lymphoblastic
SK-BR-3_VENETOCLAX_72h_XTT_LT,1.391489948916893,SK-BR-3,VENETOCLAX,72h,XTT,LT,VENETOCLAX_72h_XTT_LT,solid,Breast cancer
CEM-SS_DASATINIB_72h_Trypan Blue_KI,1.317944248970338,CEM-SS,DASATINIB,72h,Trypan Blue,KI,DASATINIB_72h_Trypan Blue_KI,suspension,Lymphoblastic
TE-671_CRIZOTINIB_72h_XTT_LT,0.6453611106204613,TE-671,CRIZOTINIB,72h,XTT,LT,CRIZOTINIB_72h_XTT_LT,solid,other
K562_SARACATINIB_72h_Trypan Blue_KI,0.2781883330921882,K562,SARACATINIB,72h,Trypan Blue,KI,SARACATINIB_72h_Trypan Blue_KI,suspension,Myeloid
MOLT-4_GELDANAMYCIN_72h_Trypan Blue_KI,0.9191585322380511,MOLT-4,GELDANAMYCIN,72h,Trypan Blue,KI,GELDANAMYCIN_72h_Trypan Blue_KI,suspension,Lymphoblastic
TE-671_SORAFENIB_72h_XTT_LT,1.79845772180445,TE-671,SORAFENIB,72h,XTT,LT,SORAFENIB_72h_XTT_LT,solid,other
SH-SY5Y_TOPOTECAN_144h_Resazurin_SM,0.679282895327654,SH-SY5Y,TOPOTECAN,144h,Resazurin,SM,TOPOTECAN_144h_Resazurin_SM,solid,Neuroblastoma
HCT-116_CABOZANTINIB_72h_XTT_LT,1.61399458247569,HCT-116,CABOZANTINIB,72h,XTT,LT,CABOZANTINIB_72h_XTT_LT,solid,Colon cancer
SK-N-AS_SELUMENTINIB_72h_Resazurin_SM,1.095125125569659,SK-N-AS,SELUMENTINIB,72h,Resazurin,SM,SELUMENTINIB_72h_Resazurin_SM,solid,Neuroblastoma
SK-N-AS_STAUROSPORINE_72h_Resazurin_SM,1.443261092339282,SK-N-AS,STAUROSPORINE,72h,Resazurin,SM,STAUROSPORINE_72h_Resazurin_SM,solid,Neuroblastoma
786-0_RSL3_72h_XTT_LT,0.2025143389730228,786-0,RSL3,72h,XTT,LT,RSL3_72h_XTT_LT,solid,Renal cancer
LN-18_BOSUTINIB_72h_XTT_LT,1.159783150846297,LN-18,BOSUTINIB,72h,XTT,LT,BOSUTINIB_72h_XTT_LT,solid,Glioblastoma
MV4;11_FLUOROURACIL_72h_Resazurin_KI,0.7082747642788656,MV4;11,FLUOROURACIL,72h,Resazurin,KI,FLUOROURACIL_72h_Resazurin_KI,suspension,Myeloid
THP-1_GELDANAMYCIN_72h_XTT_KI,0.925422187065146,THP-1,GELDANAMYCIN,72h,XTT,KI,GELDANAMYCIN_72h_XTT_KI,suspension,Myeloid
H1299_5-AZACITIDINE_72h_H2BRuby_AM,1.18318555290986,H1299,5-AZACITIDINE,72h,H2BRuby,AM,5-AZACITIDINE_72h_H2BRuby_AM,solid,Lung cancer
HL-60_FLUOROURACIL_72h_Resazurin_KI,0.9260470328628129,HL-60,FLUOROURACIL,72h,Resazurin,KI,FLUOROURACIL_72h_Resazurin_KI,suspension,Myeloid
H1299_PIM447_72h_XTT_LT,1.513128951267403,H1299,PIM447,72h,XTT,LT,PIM447_72h_XTT_LT,solid,Lung cancer
K562_AZD7762_72h_Resazurin_KI,1.452900539145409,K562,AZD7762,72h,Resazurin,KI,AZD7762_72h_Resazurin_KI,suspension,Myeloid
U937_SELUMENTINIB_72h_XTT_KI,1.275643634552585,U937,SELUMENTINIB,72h,XTT,KI,SELUMENTINIB_72h_XTT_KI,suspension,Myeloid
HCT-116_OLAPARIB_72h_XTT_LT,1.124686071414985,HCT-116,OLAPARIB,72h,XTT,LT,OLAPARIB_72h_XTT_LT,solid,Colon cancer
HepG2_BAFETINIB_72h_Hoechst_AM,1.068186723286679,HepG2,BAFETINIB,72h,Hoechst,AM,BAFETINIB_72h_Hoechst_AM,solid,other
SK-N-AS_VOLASERTIB_144h_Resazurin_SM,0.9312440855291513,SK-N-AS,VOLASERTIB,144h,Resazurin,SM,VOLASERTIB_144h_Resazurin_SM,solid,Neuroblastoma
Kasumi-1_GELDANAMYCIN_72h_Trypan Blue_KI,0.1379501237777508,Kasumi-1,GELDANAMYCIN,72h,Trypan Blue,KI,GELDANAMYCIN_72h_Trypan Blue_KI,suspension,Myeloid
Kelly_RAPAMYCIN_144h_Resazurin_SM,1.10142074245492,Kelly,RAPAMYCIN,144h,Resazurin,SM,RAPAMYCIN_144h_Resazurin_SM,solid,Neuroblastoma
SH-SY5Y_RUXOLITINIB_72h_XTT_LT,0.9952238875736301,SH-SY5Y,RUXOLITINIB,72h,XTT,LT,RUXOLITINIB_72h_XTT_LT,solid,Neuroblastoma
HL-60_ENTINOSTAT_72h_Trypan Blue_KI,0.2729600197507608,HL-60,ENTINOSTAT,72h,Trypan Blue,KI,ENTINOSTAT_72h_Trypan Blue_KI,suspension,Myeloid
Kelly_ETOPOSIDE_72h_Resazurin_SM,0.9529565456772574,Kelly,ETOPOSIDE,72h,Resazurin,SM,ETOPOSIDE_72h_Resazurin_SM,solid,Neuroblastoma
A431_LANRAPLENIB_72h_Hoechst_AM,0.9571736721729457,A431,LANRAPLENIB,72h,Hoechst,AM,LANRAPLENIB_72h_Hoechst_AM,solid,other
SK-N-SH_ADAVOSERTIB_144h_Resazurin_SM,1.505040532093191,SK-N-SH,ADAVOSERTIB,144h,Resazurin,SM,ADAVOSERTIB_144h_Resazurin_SM,solid,Neuroblastoma
HCT-116_AXITINIB_72h_XTT_LT,0.5026502251991752,HCT-116,AXITINIB,72h,XTT,LT,AXITINIB_72h_XTT_LT,solid,Colon cancer
SK-N-SH_SORAFENIB_72h_Resazurin_SM,0.7745013341939556,SK-N-SH,SORAFENIB,72h,Resazurin,SM,SORAFENIB_72h_Resazurin_SM,solid,Neuroblastoma
LN-18_PD0325901_72h_XTT_LT,1.707236664614065,LN-18,PD0325901,72h,XTT,LT,PD0325901_72h_XTT_LT,solid,Glioblastoma
HCT-116_JQ1_72h_XTT_LT,2.034769045502129,HCT-116,JQ1,72h,XTT,LT,JQ1_72h_XTT_LT,solid,Colon cancer
CEM-SS_5-AZACITIDINE_72h_XTT_KI,0.7958543994199208,CEM-SS,5-AZACITIDINE,72h,XTT,KI,5-AZACITIDINE_72h_XTT_KI,suspension,Lymphoblastic
SK-OV-3_PANOBINOSTAT_72h_Trypan Blue_AM,0.3680863872140993,SK-OV-3,PANOBINOSTAT,72h,Trypan Blue,AM,PANOBINOSTAT_72h_Trypan Blue_AM,solid,other
SK-BR-3_CABOZANTINIB_72h_XTT_LT,0.5798459942129489,SK-BR-3,CABOZANTINIB,72h,XTT,LT,CABOZANTINIB_72h_XTT_LT,solid,Breast cancer
HCT-116_STAUROSPORINE_72h_XTT_LT,1.132914570736746,HCT-116,STAUROSPORINE,72h,XTT,LT,STAUROSPORINE_72h_XTT_LT,solid,Colon cancer
SK-N-AS_SELUMENTINIB_144h_Resazurin_SM,0.5625502445936189,SK-N-AS,SELUMENTINIB,144h,Resazurin,SM,SELUMENTINIB_144h_Resazurin_SM,solid,Neuroblastoma
SH-SY5Y_JQ1_72h_Resazurin_SM,0.5497897773817052,SH-SY5Y,JQ1,72h,Resazurin,SM,JQ1_72h_Resazurin_SM,solid,Neuroblastoma
SiHa_CURCUMIN_72h_XTT_LT,1.618979741488521,SiHa,CURCUMIN,72h,XTT,LT,CURCUMIN_72h_XTT_LT,solid,Cervix cancer
HL-60_DASATINIB_72h_Trypan Blue_KI,1.384135526333091,HL-60,DASATINIB,72h,Trypan Blue,KI,DASATINIB_72h_Trypan Blue_KI,suspension,Myeloid
HCT-116_ETOMOXIR_72h_XTT_LT,1.115669668299565,HCT-116,ETOMOXIR,72h,XTT,LT,ETOMOXIR_72h_XTT_LT,solid,Colon cancer
Kasumi-1_ALISERTIB_72h_Trypan Blue_KI,0.4300666776449978,Kasumi-1,ALISERTIB,72h,Trypan Blue,KI,ALISERTIB_72h_Trypan Blue_KI,suspension,Myeloid
LN-18_GEFITINIB_72h_Trypan Blue_AM,1.008914325619246,LN-18,GEFITINIB,72h,Trypan Blue,AM,GEFITINIB_72h_Trypan Blue_AM,solid,Glioblastoma
HL-60_GELDANAMYCIN_72h_XTT_KI,0.8326946020385765,HL-60,GELDANAMYCIN,72h,XTT,KI,GELDANAMYCIN_72h_XTT_KI,suspension,Myeloid
SK-OV-3_17-DMAG_72h_XTT_LT,1.214120091517942,SK-OV-3,17-DMAG,72h,XTT,LT,17-DMAG_72h_XTT_LT,solid,other
K562_BORTEZOMIB_72h_Resazurin_KI,1.271743615607037,K562,BORTEZOMIB,72h,Resazurin,KI,BORTEZOMIB_72h_Resazurin_KI,suspension,Myeloid
HL-60_THZ1_72h_XTT_KI,0.824270035632563,HL-60,THZ1,72h,XTT,KI,THZ1_72h_XTT_KI,suspension,Myeloid
SiHa_PACLITAXEL_72h_XTT_LT,1.114763581811005,SiHa,PACLITAXEL,72h,XTT,LT,PACLITAXEL_72h_XTT_LT,solid,Cervix cancer
SH-SY5Y_PRT062607_72h_Hoechst_AM,1.287668923106859,SH-SY5Y,PRT062607,72h,Hoechst,AM,PRT062607_72h_Hoechst_AM,solid,Neuroblastoma
Kasumi-1_5-AZACITIDINE_72h_XTT_KI,0.5861464026759889,Kasumi-1,5-AZACITIDINE,72h,XTT,KI,5-AZACITIDINE_72h_XTT_KI,suspension,Myeloid
786-0_DACTOLISIB_72h_XTT_LT,1.077198928106118,786-0,DACTOLISIB,72h,XTT,LT,DACTOLISIB_72h_XTT_LT,solid,Renal cancer
SK-N-SH_SELUMENTINIB_72h_Resazurin_SM,0.7950852782125439,SK-N-SH,SELUMENTINIB,72h,Resazurin,SM,SELUMENTINIB_72h_Resazurin_SM,solid,Neuroblastoma
MCF-7_BELINOSTAT_72h_Resazurin_LT,0.6109282031872285,MCF-7,BELINOSTAT,72h,Resazurin,LT,BELINOSTAT_72h_Resazurin_LT,solid,Breast cancer
SK-N-BE_SARACATINIB_72h_Trypan Blue_LT,1.23339696973693,SK-N-BE,SARACATINIB,72h,Trypan Blue,LT,SARACATINIB_72h_Trypan Blue_LT,solid,Neuroblastoma
SiHa_R406_72h_Trypan Blue_LT,1.031322894326598,SiHa,R406,72h,Trypan Blue,LT,R406_72h_Trypan Blue_LT,solid,Cervix cancer
TE-671_SPERMIDINE_72h_XTT_LT,0.9238396530521497,TE-671,SPERMIDINE,72h,XTT,LT,SPERMIDINE_72h_XTT_LT,solid,other
A431_BAFETINIB_72h_Trypan Blue_AM,1.022464643688715,A431,BAFETINIB,72h,Trypan Blue,AM,BAFETINIB_72h_Trypan Blue_AM,solid,other
H1299_PACLITAXEL_72h_H2BRuby_AM,0.2992036071931211,H1299,PACLITAXEL,72h,H2BRuby,AM,PACLITAXEL_72h_H2BRuby_AM,solid,Lung cancer
U251_DASATINIB_72h_Trypan Blue_LT,1.014612706154778,U251,DASATINIB,72h,Trypan Blue,LT,DASATINIB_72h_Trypan Blue_LT,solid,Glioblastoma
Kasumi-1_CABOZANTINIB_72h_Trypan Blue_KI,0.9878545862898191,Kasumi-1,CABOZANTINIB,72h,Trypan Blue,KI,CABOZANTINIB_72h_Trypan Blue_KI,suspension,Myeloid
786-0_ALISERTIB_72h_XTT_LT,1.710336609820591,786-0,ALISERTIB,72h,XTT,LT,ALISERTIB_72h_XTT_LT,solid,Renal cancer
SK-BR-3_PIM447_72h_XTT_LT,1.364062851675332,SK-BR-3,PIM447,72h,XTT,LT,PIM447_72h_XTT_LT,solid,Breast cancer
HL-60_SARACATINIB_72h_Trypan Blue_KI,1.40502313136928,HL-60,SARACATINIB,72h,Trypan Blue,KI,SARACATINIB_72h_Trypan Blue_KI,suspension,Myeloid
MV4;11_ALPELISIB_72h_Resazurin_KI,1.069294625151513,MV4;11,ALPELISIB,72h,Resazurin,KI,ALPELISIB_72h_Resazurin_KI,suspension,Myeloid
SK-OV-3_SARACATINIB_72h_Trypan Blue_AM,0.5668211223971064,SK-OV-3,SARACATINIB,72h,Trypan Blue,AM,SARACATINIB_72h_Trypan Blue_AM,solid,other
CEM-SS_BAFETINIB_72h_Trypan Blue_KI,0.9374760746629656,CEM-SS,BAFETINIB,72h,Trypan Blue,KI,BAFETINIB_72h_Trypan Blue_KI,suspension,Lymphoblastic
SK-N-SH_DACTOLISIB_72h_Resazurin_SM,1.038084730922901,SK-N-SH,DACTOLISIB,72h,Resazurin,SM,DACTOLISIB_72h_Resazurin_SM,solid,Neuroblastoma
H1299_STAUROSPORINE_72h_H2BRuby_AM,0.5000199612621801,H1299,STAUROSPORINE,72h,H2BRuby,AM,STAUROSPORINE_72h_H2BRuby_AM,solid,Lung cancer
SiHa_TALAZOPARIB_72h_XTT_LT,0.9968203617192632,SiHa,TALAZOPARIB,72h,XTT,LT,TALAZOPARIB_72h_XTT_LT,solid,Cervix cancer
SK-N-SH_ETOPOSIDE_72h_Resazurin_SM,0.7137949005864291,SK-N-SH,ETOPOSIDE,72h,Resazurin,SM,ETOPOSIDE_72h_Resazurin_SM,solid,Neuroblastoma
SK-N-SH_ADAVOSERTIB_72h_Resazurin_SM,1.1791723528554,SK-N-SH,ADAVOSERTIB,72h,Resazurin,SM,ADAVOSERTIB_72h_Resazurin_SM,solid,Neuroblastoma
SK-BR-3_LONAFARNIB_72h_XTT_LT,0.955570669887591,SK-BR-3,LONAFARNIB,72h,XTT,LT,LONAFARNIB_72h_XTT_LT,solid,Breast cancer
Kasumi-1_DECITABINE_72h_XTT_KI,0.8017916769277329,Kasumi-1,DECITABINE,72h,XTT,KI,DECITABINE_72h_XTT_KI,suspension,Myeloid
H1299_SORAFENIB_72h_H2BRuby_AM,0.5211614263926035,H1299,SORAFENIB,72h,H2BRuby,AM,SORAFENIB_72h_H2BRuby_AM,solid,Lung cancer
HT-29_SARACATINIB_72h_Trypan Blue_AM,0.6139998965325804,HT-29,SARACATINIB,72h,Trypan Blue,AM,SARACATINIB_72h_Trypan Blue_AM,solid,Colon cancer
786-0_R406_72h_Hoechst_AM,1.043524892314235,786-0,R406,72h,Hoechst,AM,R406_72h_Hoechst_AM,solid,Renal cancer
THP-1_ALISERTIB_72h_Trypan Blue_KI,0.2673316641486594,THP-1,ALISERTIB,72h,Trypan Blue,KI,ALISERTIB_72h_Trypan Blue_KI,suspension,Myeloid
HL-60_MITHRAMYCIN_72h_Trypan Blue_KI,1.094143710893224,HL-60,MITHRAMYCIN,72h,Trypan Blue,KI,MITHRAMYCIN_72h_Trypan Blue_KI,suspension,Myeloid
HCT-116_DACTOLISIB_72h_XTT_LT,1.685166410132982,HCT-116,DACTOLISIB,72h,XTT,LT,DACTOLISIB_72h_XTT_LT,solid,Colon cancer
786-0_VINCRISTINE_72h_XTT_LT,1.277153621454064,786-0,VINCRISTINE,72h,XTT,LT,VINCRISTINE_72h_XTT_LT,solid,Renal cancer
Jurkat_ENTINOSTAT_72h_Trypan Blue_KI,0.5166892444205057,Jurkat,ENTINOSTAT,72h,Trypan Blue,KI,ENTINOSTAT_72h_Trypan Blue_KI,suspension,Lymphoblastic
786-0_SORAFENIB_72h_XTT_LT,0.5875636968750446,786-0,SORAFENIB,72h,XTT,LT,SORAFENIB_72h_XTT_LT,solid,Renal cancer
CEM-SS_ALISERTIB_72h_Trypan Blue_KI,0.1295140194694181,CEM-SS,ALISERTIB,72h,Trypan Blue,KI,ALISERTIB_72h_Trypan Blue_KI,suspension,Lymphoblastic
SK-OV-3_ETOPOSIDE_72h_H2BRuby_AM,0.8049232626461117,SK-OV-3,ETOPOSIDE,72h,H2BRuby,AM,ETOPOSIDE_72h_H2BRuby_AM,solid,other
CEM-SS_DECITABINE_72h_XTT_KI,0.2350541191870197,CEM-SS,DECITABINE,72h,XTT,KI,DECITABINE_72h_XTT_KI,suspension,Lymphoblastic
SK-N-SH_BELINOSTAT_72h_Resazurin_SM,0.3936961895545785,SK-N-SH,BELINOSTAT,72h,Resazurin,SM,BELINOSTAT_72h_Resazurin_SM,solid,Neuroblastoma
ACHN_BOSUTINIB_72h_Trypan Blue_AM,0.9581520233876046,ACHN,BOSUTINIB,72h,Trypan Blue,AM,BOSUTINIB_72h_Trypan Blue_AM,solid,Renal cancer
SW-620_SARACATINIB_72h_Trypan Blue_AM,1.089182479554281,SW-620,SARACATINIB,72h,Trypan Blue,AM,SARACATINIB_72h_Trypan Blue_AM,solid,Colon cancer
SH-SY5Y_PANOBINOSTAT_72h_Trypan Blue_AM,0.5176684019168353,SH-SY5Y,PANOBINOSTAT,72h,Trypan Blue,AM,PANOBINOSTAT_72h_Trypan Blue_AM,solid,Neuroblastoma
HL-60_PIM447_72h_XTT_KI,0.5645202061646121,HL-60,PIM447,72h,XTT,KI,PIM447_72h_XTT_KI,suspension,Myeloid
SK-BR-3_OLAPARIB_72h_XTT_LT,1.128018443900945,SK-BR-3,OLAPARIB,72h,XTT,LT,OLAPARIB_72h_XTT_LT,solid,Breast cancer
HL-60_BOSUTINIB_72h_Trypan Blue_KI,1.117642981803156,HL-60,BOSUTINIB,72h,Trypan Blue,KI,BOSUTINIB_72h_Trypan Blue_KI,suspension,Myeloid
SK-OV-3_PD0166285_144h_Resazurin_BM,0.8252826205550283,SK-OV-3,PD0166285,144h,Resazurin,BM,PD0166285_144h_Resazurin_BM,solid,other
SiHa_STAUROSPORINE_72h_XTT_LT,1.281966679138306,SiHa,STAUROSPORINE,72h,XTT,LT,STAUROSPORINE_72h_XTT_LT,solid,Cervix cancer
Kelly_DACTOLISIB_72h_Resazurin_SM,1.167161895592856,Kelly,DACTOLISIB,72h,Resazurin,SM,DACTOLISIB_72h_Resazurin_SM,solid,Neuroblastoma
LN-18_ETOPOSIDE_72h_H2BRuby_AM,0.8935314523449033,LN-18,ETOPOSIDE,72h,H2BRuby,AM,ETOPOSIDE_72h_H2BRuby_AM,solid,Glioblastoma
MOLT-4_DASATINIB_72h_Trypan Blue_KI,0.3043813443424654,MOLT-4,DASATINIB,72h,Trypan Blue,KI,DASATINIB_72h_Trypan Blue_KI,suspension,Lymphoblastic
SH-SY5Y_SCH772984_72h_XTT_LT,0.3253148356002403,SH-SY5Y,SCH772984,72h,XTT,LT,SCH772984_72h_XTT_LT,solid,Neuroblastoma
786-0_SPERMIDINE_72h_XTT_LT,0.6870448421977781,786-0,SPERMIDINE,72h,XTT,LT,SPERMIDINE_72h_XTT_LT,solid,Renal cancer
HCT-116_PANOBINOSTAT_72h_XTT_LT,1.265051719814545,HCT-116,PANOBINOSTAT,72h,XTT,LT,PANOBINOSTAT_72h_XTT_LT,solid,Colon cancer
SK-N-SH_VENETOCLAX_72h_Resazurin_SM,1.428534395933739,SK-N-SH,VENETOCLAX,72h,Resazurin,SM,VENETOCLAX_72h_Resazurin_SM,solid,Neuroblastoma
MV4;11_CHLOROQUINE_72h_Trypan Blue_KI,1.012662313447792,MV4;11,CHLOROQUINE,72h,Trypan Blue,KI,CHLOROQUINE_72h_Trypan Blue_KI,suspension,Myeloid
SH-SY5Y_RAPAMYCIN_144h_Resazurin_SM,0.997729475353042,SH-SY5Y,RAPAMYCIN,144h,Resazurin,SM,RAPAMYCIN_144h_Resazurin_SM,solid,Neuroblastoma
SK-OV-3_DASATINIB_72h_Trypan Blue_AM,0.7968614159737502,SK-OV-3,DASATINIB,72h,Trypan Blue,AM,DASATINIB_72h_Trypan Blue_AM,solid,other
SK-N-AS_TOPOTECAN_144h_Resazurin_SM,1.371633500297674,SK-N-AS,TOPOTECAN,144h,Resazurin,SM,TOPOTECAN_144h_Resazurin_SM,solid,Neuroblastoma
SH-SY5Y_CABOZANTINIB_72h_XTT_LT,0.5070350841351479,SH-SY5Y,CABOZANTINIB,72h,XTT,LT,CABOZANTINIB_72h_XTT_LT,solid,Neuroblastoma
U937_PIM447_72h_XTT_KI,0.9218773953522613,U937,PIM447,72h,XTT,KI,PIM447_72h_XTT_KI,suspension,Myeloid
H1299_17-DMAG_72h_XTT_LT,1.144609536967805,H1299,17-DMAG,72h,XTT,LT,17-DMAG_72h_XTT_LT,solid,Lung cancer
H1299_AXITINIB_72h_H2BRuby_AM,0.2257729014956446,H1299,AXITINIB,72h,H2BRuby,AM,AXITINIB_72h_H2BRuby_AM,solid,Lung cancer
H1299_5-AZACITIDINE_72h_Hoechst_AM,0.7468974384561662,H1299,5-AZACITIDINE,72h,Hoechst,AM,5-AZACITIDINE_72h_Hoechst_AM,solid,Lung cancer
HCT-116_R406_72h_Trypan Blue_LT,0.9453419255758941,HCT-116,R406,72h,Trypan Blue,LT,R406_72h_Trypan Blue_LT,solid,Colon cancer
HL-60_PEXIDARTINIB_72h_Trypan Blue_KI,1.391780545355211,HL-60,PEXIDARTINIB,72h,Trypan Blue,KI,PEXIDARTINIB_72h_Trypan Blue_KI,suspension,Myeloid
Kasumi-1_ULIXERTINIB_72h_Trypan Blue_KI,1.114348713114845,Kasumi-1,ULIXERTINIB,72h,Trypan Blue,KI,ULIXERTINIB_72h_Trypan Blue_KI,suspension,Myeloid
SH-SY5Y_SORAFENIB_144h_Resazurin_SM,0.8059097828292401,SH-SY5Y,SORAFENIB,144h,Resazurin,SM,SORAFENIB_144h_Resazurin_SM,solid,Neuroblastoma
SH-SY5Y_VORINOSTAT_144h_Resazurin_SM,0.6969167255709992,SH-SY5Y,VORINOSTAT,144h,Resazurin,SM,VORINOSTAT_144h_Resazurin_SM,solid,Neuroblastoma
U937_IMATINIB_72h_XTT_KI,1.115864852340838,U937,IMATINIB,72h,XTT,KI,IMATINIB_72h_XTT_KI,suspension,Myeloid
CEM-SS_SUNITINIB_72h_XTT_KI,1.384627387631685,CEM-SS,SUNITINIB,72h,XTT,KI,SUNITINIB_72h_XTT_KI,suspension,Lymphoblastic
Kelly_VOLASERTIB_144h_Resazurin_SM,1.114997125686537,Kelly,VOLASERTIB,144h,Resazurin,SM,VOLASERTIB_144h_Resazurin_SM,solid,Neuroblastoma
A549_WORTMANNIN_72h_Resazurin_LT,1.569198446399841,A549,WORTMANNIN,72h,Resazurin,LT,WORTMANNIN_72h_Resazurin_LT,solid,Lung cancer
SH-SY5Y_RSL3_72h_XTT_LT,1.161940273995921,SH-SY5Y,RSL3,72h,XTT,LT,RSL3_72h_XTT_LT,solid,Neuroblastoma
SK-N-AS_OLAPARIB_144h_Resazurin_SM,0.5629797002960857,SK-N-AS,OLAPARIB,144h,Resazurin,SM,OLAPARIB_144h_Resazurin_SM,solid,Neuroblastoma
MCF-7_WORTMANNIN_72h_Resazurin_LT,1.561043357997913,MCF-7,WORTMANNIN,72h,Resazurin,LT,WORTMANNIN_72h_Resazurin_LT,solid,Breast cancer
THP-1_5-AZACITIDINE_72h_Trypan Blue_KI,1.182010866020841,THP-1,5-AZACITIDINE,72h,Trypan Blue,KI,5-AZACITIDINE_72h_Trypan Blue_KI,suspension,Myeloid
K562_AXITINIB_72h_Resazurin_KI,1.711251587470974,K562,AXITINIB,72h,Resazurin,KI,AXITINIB_72h_Resazurin_KI,suspension,Myeloid
H1299_BI2536_144h_Resazurin_BM,0.004990058855548992,H1299,BI2536,144h,Resazurin,BM,BI2536_144h_Resazurin_BM,solid,Lung cancer
LN-18_5-AZACITIDINE_72h_Trypan Blue_AM,1.063337069798389,LN-18,5-AZACITIDINE,72h,Trypan Blue,AM,5-AZACITIDINE_72h_Trypan Blue_AM,solid,Glioblastoma
K562_DECITABINE_72h_Resazurin_KI,1.961691666715074,K562,DECITABINE,72h,Resazurin,KI,DECITABINE_72h_Resazurin_KI,suspension,Myeloid
Kasumi-1_MITHRAMYCIN_72h_Trypan Blue_KI,0.9718247165395765,Kasumi-1,MITHRAMYCIN,72h,Trypan Blue,KI,MITHRAMYCIN_72h_Trypan Blue_KI,suspension,Myeloid
MV4;11_SUNITINIB_72h_XTT_KI,1.043619070538248,MV4;11,SUNITINIB,72h,XTT,KI,SUNITINIB_72h_XTT_KI,suspension,Myeloid
TE-671_17-DMAG_72h_XTT_LT,0.416381191311771,TE-671,17-DMAG,72h,XTT,LT,17-DMAG_72h_XTT_LT,solid,other
Jurkat_RAPAMYCIN_72h_XTT_KI,0.9153909648403882,Jurkat,RAPAMYCIN,72h,XTT,KI,RAPAMYCIN_72h_XTT_KI,suspension,Lymphoblastic
H1299_ETOPOSIDE_72h_H2BRuby_AM,0.8443189685944191,H1299,ETOPOSIDE,72h,H2BRuby,AM,ETOPOSIDE_72h_H2BRuby_AM,solid,Lung cancer
SK-BR-3_GELDANAMYCIN_72h_XTT_LT,1.541318489437596,SK-BR-3,GELDANAMYCIN,72h,XTT,LT,GELDANAMYCIN_72h_XTT_LT,solid,Breast cancer
